Date,Close
10/1/2012,74.05
10/2/2012,73.75
10/3/2012,74.20
10/4/2012,74.72
10/5/2012,75.13
10/8/2012,75.25
10/9/2012,74.14
10/10/2012,75.42
10/11/2012,75.01
10/12/2012,75.81
10/15/2012,77.15
10/16/2012,76.91
10/17/2012,77.03
10/18/2012,76.56
10/19/2012,75.62
10/22/2012,75.65
10/23/2012,74.76
10/24/2012,74.82
10/25/2012,75.32
10/26/2012,75.11
10/31/2012,75.02
11/1/2012,73.45
11/2/2012,72.77
11/5/2012,73.14
11/6/2012,73.76
11/7/2012,73.11
11/8/2012,72.48
11/9/2012,72.31
11/12/2012,72.48
11/13/2012,71.81
11/14/2012,71.31
11/15/2012,68.72
11/16/2012,68.03
11/19/2012,69.02
11/20/2012,69.00
11/21/2012,68.89
11/23/2012,70.20
11/26/2012,69.91
11/27/2012,69.50
11/28/2012,70.56
11/29/2012,70.83
11/30/2012,72.02
12/3/2012,71.34
12/4/2012,72.12
12/5/2012,71.65
12/6/2012,71.59
12/7/2012,72.29
12/10/2012,72.15
12/11/2012,70.89
12/12/2012,68.94
12/13/2012,69.04
12/14/2012,68.75
12/17/2012,69.20
12/18/2012,69.50
12/19/2012,68.52
12/20/2012,69.00
12/21/2012,68.65
12/24/2012,68.57
12/26/2012,67.99
12/27/2012,68.19
12/28/2012,67.61
12/31/2012,68.23
1/2/2013,69.24
1/3/2013,68.80
1/4/2013,69.06
1/7/2013,68.40
1/8/2013,68.59
1/9/2013,68.57
1/10/2013,68.36
1/11/2013,68.63
1/14/2013,68.30
1/15/2013,68.98
1/16/2013,69.21
1/17/2013,68.85
1/18/2013,69.20
1/22/2013,69.58
1/23/2013,69.49
1/24/2013,69.79
1/25/2013,69.00
1/28/2013,69.35
1/29/2013,69.89
1/30/2013,69.75
1/31/2013,69.95
2/1/2013,70.49
2/4/2013,69.63
2/5/2013,70.77
2/6/2013,71.31
2/7/2013,71.23
2/8/2013,71.48
2/11/2013,71.40
2/12/2013,71.40
2/13/2013,71.39
2/14/2013,70.82
2/15/2013,69.30
2/19/2013,68.76
2/20/2013,69.21
2/21/2013,70.26
2/22/2013,70.40
2/25/2013,70.44
2/26/2013,71.11
2/27/2013,71.66
2/28/2013,70.78
3/1/2013,71.74
3/4/2013,73.26
3/5/2013,73.72
3/6/2013,73.38
3/7/2013,73.32
3/8/2013,73.03
3/11/2013,72.98
3/12/2013,73.60
3/13/2013,73.65
3/14/2013,73.22
3/15/2013,72.50
3/18/2013,72.25
3/19/2013,72.45
3/20/2013,72.99
3/21/2013,73.13
3/22/2013,74.28
3/25/2013,74.85
3/26/2013,74.77
3/27/2013,74.78
3/28/2013,74.83
4/1/2013,75.43
4/2/2013,76.02
4/3/2013,76.00
4/4/2013,76.20
4/5/2013,76.39
4/8/2013,77.29
4/9/2013,78.12
4/10/2013,77.37
4/11/2013,77.79
4/12/2013,78.56
4/15/2013,78.47
4/16/2013,78.68
4/17/2013,78.51
4/18/2013,77.16
4/19/2013,78.29
4/22/2013,77.97
4/23/2013,79.09
4/24/2013,78.03
4/25/2013,78.65
4/26/2013,79.04
4/29/2013,78.39
4/30/2013,77.72
5/1/2013,78.06
5/2/2013,78.46
5/3/2013,79.25
5/6/2013,78.83
5/7/2013,78.83
5/8/2013,78.25
5/9/2013,78.40
5/10/2013,78.89
5/13/2013,78.50
5/14/2013,78.78
5/15/2013,79.86
5/16/2013,78.50
5/17/2013,77.87
5/20/2013,77.40
5/21/2013,77.39
5/22/2013,77.03
5/23/2013,76.33
5/24/2013,77.31
5/28/2013,77.32
5/29/2013,76.23
5/30/2013,75.63
5/31/2013,74.84
6/3/2013,75.69
6/4/2013,75.94
6/5/2013,75.25
6/6/2013,75.63
6/7/2013,76.33
6/10/2013,75.75
6/11/2013,75.25
6/12/2013,74.84
6/13/2013,75.00
6/14/2013,74.87
6/17/2013,74.95
6/18/2013,75.73
6/19/2013,74.46
6/20/2013,73.03
6/21/2013,73.51
6/24/2013,74.20
6/25/2013,74.37
6/26/2013,75.01
6/27/2013,75.26
6/28/2013,74.49
7/1/2013,74.59
7/2/2013,74.71
7/3/2013,74.76
7/5/2013,75.21
7/8/2013,76.71
7/9/2013,77.03
7/10/2013,76.77
7/11/2013,77.63
7/12/2013,77.63
7/15/2013,77.03
7/16/2013,77.37
7/17/2013,77.20
7/18/2013,77.34
7/19/2013,78.08
7/22/2013,77.87
7/23/2013,78.55
7/24/2013,78.23
7/25/2013,78.01
